"Rattlesnake Cr nr Missoula, MT", 76M 01100
Timestamp,Stage.Daily Average@76M 01100 (ft),Approval Name,Discharge.Daily Average@76M 01100 (ft^3/s),Approval Name
2017-11-08 00:00,2.360,Approved,,
2017-11-09 00:00,2.354,Approved,25.73,Approved
2017-11-10 00:00,2.366,Approved,26.99,Approved
2017-11-11 00:00,2.373,Approved,27.73,Approved
2017-11-12 00:00,2.380,Approved,28.52,Approved
2017-11-13 00:00,2.376,Approved,28.10,Approved
2017-11-14 00:00,2.373,Approved,27.80,Approved
2017-11-15 00:00,2.377,Approved,28.21,Approved
2017-11-16 00:00,2.357,Approved,26.04,Approved
2017-11-17 00:00,2.356,Approved,25.85,Approved
2017-11-18 00:00,2.362,Approved,26.61,Approved
2017-11-19 00:00,2.352,Approved,25.47,Approved
2017-11-20 00:00,2.337,Approved,23.86,Approved
2017-11-21 00:00,2.397,Approved,30.64,Approved
2017-11-22 00:00,2.423,Approved,33.51,Approved
2017-11-23 00:00,2.542,Approved,48.24,Approved
2017-11-24 00:00,2.867,Approved,92.21,Approved
2017-11-25 00:00,3.611,Approved,287.0,Approved
2017-11-26 00:00,3.333,Approved,196.9,Approved
2017-11-27 00:00,3.164,Approved,150.3,Approved
2017-11-28 00:00,3.101,Approved,134.4,Approved
2017-11-29 00:00,3.022,Approved,116.0,Approved
2017-11-30 00:00,2.965,Approved,103.5,Approved
2017-12-01 00:00,2.901,Approved,92.05,Approved
2017-12-02 00:00,2.861,Approved,87.11,Approved
2017-12-03 00:00,2.818,Approved,81.96,Approved
2017-12-04 00:00,2.795,Approved,79.19,Approved
2017-12-05 00:00,2.750,Approved,73.95,Approved
2017-12-06 00:00,2.711,Approved,69.32,Approved
2017-12-07 00:00,2.658,Approved,62.80,Approved
2017-12-08 00:00,2.630,Approved,59.22,Approved
2017-12-09 00:00,2.601,Approved,55.41,Approved
2017-12-10 00:00,2.545,Approved,48.32,Approved
2017-12-11 00:00,2.543,Approved,48.03,Approved
